fecha,dia_semana,ticket_promedio,num_clientes,total_ventas_dia
2023-02-19,Sun,14.065000000000001,16,229.05
2023-03-15,Wed,13.895,20,286.62
2023-02-17,Fri,13.89,22,308.7
2023-04-17,Mon,13.83,12,166.28
2023-02-07,Tue,13.81,24,338.77
2023-01-23,Mon,13.795,16,223.05
2023-02-15,Wed,13.77,12,167.39
2023-04-07,Fri,13.695,17,232.8
2023-01-29,Sun,13.675,20,274.62
2023-04-16,Sun,13.645,23,319.11
2023-02-04,Sat,13.625,28,387.66
2023-04-08,Sat,13.6,23,311.74
2023-02-05,Sun,13.57,24,325.66999999999996
2023-01-11,Wed,13.56,16,217.97
2023-02-16,Thu,13.504999999999999,20,277.13
2023-01-12,Thu,13.46,20,270.11
2023-01-08,Sun,13.440000000000001,14,192.32
2023-03-31,Fri,13.43,21,285.98
2023-04-04,Tue,13.41,15,202.85
2023-01-01,Sun,13.385000000000002,20,273.59000000000003
